id,name,name_norm,uic,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport,entur_id,entur_is_enabled,trenord_id,cercanias_id,cercanias_hub_id,cercanias_is_enabled
90,Reims Maison Blanche,Reims Maison Blanche,8717127,49.233685,4.022493,89,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
91,Champagne-Ardenne TGV,Champagne-Ardenne TGV,8717192,49.214806,3.994632,89,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
92,Reims Ville,Reims Ville,8717100,49.258978,4.024435,89,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
93,Laval,Laval,8747840,48.076206,-0.760907,4714,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
94,Accous,Accous,8767278,42.983333,-0.6,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
95,Achiet,Achiet,8734204,50.131753,2.780168,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
96,Louverné,Louverne,NA,48.133333,-0.7,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
97,Louverné,Louverne,8747851,48.108856,-0.714411,96,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
98,Louverné Centre,Louverne Centre,8747991,48.123054,-0.719905,96,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
99,Mayenne,Mayenne,NA,48.3,-0.616667,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
100,Mayenne,Mayenne,8747859,48.306455,-0.620588,99,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
101,Mayenne Centre,Mayenne Centre,8747860,48.299504,-0.61134,99,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
104,Arnage,Arnage,NA,47.933333,0.183333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
105,Arnage,Arnage,8739654,47.928565999999996,0.189883,104,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
106,Arnage Centre,Arnage Centre,8736033,47.937288,0.163801,104,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
107,Carnac,Carnac,NA,47.583333,-3.083333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
108,Plouharnel – Carnac,Plouharnel - Carnac,8747641,47.604294,-3.118448,107,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
109,Les Sables-Blancs,Les Sables-Blancs,8747626,47.575598,-3.132447,107,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
110,Carnac,Carnac,8728967,47.584559,-3.082609,107,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
111,St-Pierre-Quiberon,St-Pierre-Quiberon,NA,47.516667,-3.133333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
112,L’Isthme,L'Isthme,8747627,47.546505,-3.133699,111,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
113,St-Pierre-Quiberon,St-Pierre-Quiberon,8747644,47.521057,-3.138905,111,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
114,Metz,Metz,8719203,49.109545,6.1765930000000004,4827,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
115,Forbach,Forbach,NA,49.183333,6.9,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
117,Forbach,Forbach,8719300,49.189228,6.901318,115,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
118,Sarreguemines,Sarreguemines,NA,49.10995,7.067471,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
119,Sarreguemines Poste,Sarreguemines Poste,8740690,49.110155,7.054923,118,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
121,Sarreguemines,Sarreguemines,8719361,49.107336,7.06864,118,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
122,Dunkerque,Dunkerque,8728100,51.03047,2.368961,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
123,Lille-Flandres,Lille-Flandres,8728600,50.636577,3.06987,4652,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
124,Haubourdin,Haubourdin,8728609,50.60705,2.990153,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
125,Tourcoing,Tourcoing,8728654,50.71683,3.16804,5840,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
126,Nomain,Nomain,NA,50.5,3.25,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
127,Nomain-Ouvignies,Nomain-Ouvignies,8728681,50.506076,3.230818,126,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
128,Nomain,Nomain,8728660,50.502374,3.20635,126,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
129,Croix,Croix,NA,NA,NA,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
130,Croix – Wasquehal,Croix - Wasquehal,8728671,50.678557,3.138032,129,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
131,Croix-l’Allumette,Croix-l'Allumette,8728105,50.687201,3.151659,129,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
132,Roubaix,Roubaix,8728673,50.69561,3.16348,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
136,Jeumont,Jeumont,NA,50.3,4.1,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
137,Jeumont,Jeumont,8729501,50.29606,4.08645,136,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
139,Bellegarde-sur-Valserine,Bellegarde-sur-Valserine,NA,46.107874,5.824213,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
140,Bellegarde-sur-Valserine,Bellegarde-sur-Valserine,8774500,46.109425,5.823483,139,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
141,Bellegarde-sur-Valserine Lycée Musinens,Bellegarde-sur-Valserine Lycee Musinens,8774272,46.115336,5.794132,139,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
143,Briouze,Briouze,8744808,48.701862,-0.368204,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
148,Calais Ville,Calais Ville,8731726,50.952613,1.848185,1417,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
149,Boulogne-sur-Mer Ville,Boulogne-sur-Mer Ville,8731758,50.7157,1.60964,5758,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
150,Allenc,Allenc,8778365,44.541296,3.663893,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
151,Pau,Pau,8767200,43.291762,-0.369626,5006,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
152,Hendaye,Hendaye,8767700,43.353132,-1.781724,5785,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
153,Strasbourg,Strasbourg,8721202,48.584967,7.734584,5260,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
154,Mertzwiller,Mertzwiller,NA,48.866667,7.683333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
155,Mertzwiller,Mertzwiller,8721320,48.872013,7.67819,154,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
157,Colmar,Colmar,8718201,48.073201,7.346967,1349,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
158,Mulhouse,Mulhouse,8718206,47.742224,7.342396,4753,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
159,St-Louis (Haut Rhin),St-Louis (Haut Rhin),NA,47.583333,7.566667,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
160,St-Louis La-Chaussée,St-Louis La-Chaussee,8718101,47.609478,7.53121,159,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
161,St-Louis,St-Louis,8718213,47.590609,7.555988,159,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
162,Thann,Thann,NA,NA,NA,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
163,Thann,Thann,8718256,47.808821,7.10698,162,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
164,Thann – St-Jacques,Thann - St-Jacques,8718288,47.813316,7.093847,162,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
165,Givors Canal,Givors Canal,8772243,45.595766,4.772575,3263,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
166,Aspach-le-Haut,Aspach-le-Haut,NA,47.65,7.233333,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
167,Aspach-le-Haut,Aspach-le-Haut,8767414,47.769396,7.142379,166,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
168,Aspach-le-Bas,Aspach-le-Bas,8721537,47.759832,7.152375,166,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
171,Avignon Centre,Avignon Centre,8776500,43.9419,4.805281,489,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
172,Le Mans,Le Mans,8739600,47.995034,0.19014,4661,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
173,Joué-lès-Tours Berthelot,Joue-les-Tours Berthelot,8711028,47.35,0.666667,4580,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
174,Eu,Eu,NA,50.05,1.416667,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
175,Eu-la-Mouillette,Eu-la-Mouillette,8731676,50.048907,1.425369,174,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
176,Eu,Eu,8731753,50.054199,1.416837,174,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
177,Alleyras,Alleyras,8773188,44.919217,3.673517,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
178,Le Havre,Le Havre,8741301,49.492996,0.125677,4630,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
179,Harfleur,Harfleur,NA,49.506596,0.198269,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
180,Harfleur-Halte,Harfleur-Halte,8741370,49.505918,0.192085,179,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
181,Harfleur,Harfleur,8741330,49.513634,0.198983,179,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
182,Montivilliers,Montivilliers,NA,49.55,0.2,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
184,Montivilliers,Montivilliers,8741372,49.542976,0.189426,182,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
186,Dieppe,Dieppe,8741501,49.921788,1.081133,1926,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
187,Fontainebleau – Avon,Fontainebleau - Avon,8768221,48.416371,2.72634,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
188,Péronne,Peronne,NA,50,2.65,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
189,Péronne Centre,Peronne Centre,8731341,49.934997,2.938987,188,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
190,Péronne la Chapelette,Peronne la Chapelette,8731386,49.924488,2.933359,188,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
191,Albi Ville,Albi Ville,8761500,43.92238,2.137958,4604,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
192,Orléans Centre,Orleans Centre,8754300,47.90796,1.904666,4894,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
194,Vendôme,Vendome,8757455,47.80215,1.067873,5846,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
195,Fréjus,Frejus,8775750,43.432032,6.732941,4583,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
196,Fontenay-le-Comte,Fontenay-le-Comte,8748561,46.46786,-0.809593,2776,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
197,Acheux-Franleu,Acheux-Franleu,8731674,50.082602,1.657421,NA,FR,Europe/Paris,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
198,St-Hilaire-de-Riez,St-Hilaire-de-Riez,NA,NA,NA,NA,FR,Europe/Paris,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,FALSE
199,St-Hilaire-de-Riez,St-Hilaire-de-Riez,8748656,46.716674,-1.949684,198,FR,Europe/Paris,FALSE,TRUE,FALSE,NA,FALSE,NA,NA,NA,FALSE
